VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_duration,normalized_distance,weather,zone
1,2015-01-16 17:46:35,2015-01-16 17:54:58,2,1.2,-73.99266815185547,40.73044967651367,1,N,-73.9947967529297,40.740081787109375,1,7.0,1.0,0.5,1.0,0.0,0.3,9.8,503.0,-0.0012455866068056,Clear,Otra
2,2015-01-04 18:44:54,2015-01-04 18:53:00,1,1.34,-73.98916625976561,40.757850646972656,1,N,-73.982177734375,40.77518844604492,1,7.5,0.0,0.5,1.88,0.0,0.3,10.18,486.0,-0.0012313707021746,Clear,Midtown Manhattan
2,2015-01-16 04:12:30,2015-01-16 04:17:56,5,1.67,-73.98450469970702,40.72482299804688,1,N,-73.97474670410156,40.74441146850586,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,326.0,-0.0011978617841158,Clear,Lower Manhattan
1,2015-01-23 17:59:59,2015-01-23 18:24:53,2,3.3,-74.00177764892578,40.73947525024414,1,N,-73.96207427978516,40.75926971435546,1,17.0,1.0,0.5,4.62,0.0,0.3,23.42,1494.0,-0.0010323480373405,Clear,Otra
2,2015-01-13 19:36:42,2015-01-13 19:43:13,2,0.92,-73.94670104980467,40.7805290222168,1,N,-73.95364379882812,40.77109146118164,2,6.5,1.0,0.5,0.0,0.0,0.3,8.3,391.0,-0.0012740184160676,Clear,Otra
2,2015-01-20 22:07:27,2015-01-20 22:20:25,1,1.71,-73.98683166503906,40.75830078125,1,N,-73.97904205322266,40.7412109375,1,10.0,0.5,0.5,2.1,0.0,0.3,13.4,778.0,-0.0011938000970783,Clear,Midtown Manhattan
2,2015-01-29 22:34:49,2015-01-29 22:43:55,1,1.73,-73.98306274414062,40.73501968383789,1,N,-74.00470733642578,40.73270034790039,1,8.5,0.5,0.5,1.0,0.0,0.3,10.8,546.0,-0.0011917692535596,Clear,Otra
1,2015-01-15 11:33:30,2015-01-15 11:41:54,1,1.3,-73.96986389160156,40.78555679321289,1,N,-73.98186492919923,40.77047729492188,1,7.5,0.0,0.5,2.05,0.0,0.3,10.35,504.0,-0.001235432389212,Clear,Otra
1,2015-01-16 08:17:16,2015-01-16 08:28:36,1,2.9,-73.96688079833984,40.79365158081056,1,N,-73.97416687011719,40.76290130615234,1,11.0,0.0,0.5,0.0,0.0,0.3,11.8,680.0,-0.0010729649077148,Clear,Otra
1,2015-01-02 23:20:12,2015-01-02 23:54:29,1,25.0,-73.79034423828125,40.64418029785156,1,Y,-74.00929260253906,40.6472282409668,2,66.0,0.5,0.5,0.0,0.0,0.0,67.3,2057.0,0.0011711171804651,Clouds,Otra
